,name,url
88,Clay Pot Cafe,https://www.yelp.com/biz/clay-pot-cafe-boston
89,Locale,https://www.yelp.com/biz/locale-boston
90,Ciao! Pizza & Pasta,https://www.yelp.com/biz/ciao-pizza-and-pasta-chelsea-2
91,Dig,https://www.yelp.com/biz/dig-boston-3
92,Chalawan,https://www.yelp.com/biz/chalawan-cambridge
93,4th Wall Restaurant & Bar,https://www.yelp.com/biz/4th-wall-restaurant-and-bar-boston
94,Pho Basil,https://www.yelp.com/biz/pho-basil-boston
95,Oishii Boston,https://www.yelp.com/biz/oishii-boston-boston
96,PURO ceviche bar,https://www.yelp.com/biz/puro-ceviche-bar-boston
97,Gourmet Dumpling House,https://www.yelp.com/biz/gourmet-dumpling-house-boston-3
98,Yankee Lobster,https://www.yelp.com/biz/yankee-lobster-boston
99,RUKA Restobar,https://www.yelp.com/biz/ruka-restobar-boston
100,Sorellina,https://www.yelp.com/biz/sorellina-boston
101,Douzo,https://www.yelp.com/biz/douzo-boston
102,The Tip Tap Room,https://www.yelp.com/biz/the-tip-tap-room-boston
103,La Famiglia Giorgio’s,https://www.yelp.com/biz/la-famiglia-giorgios-boston-3
104,Bistro du Midi,https://www.yelp.com/biz/bistro-du-midi-boston
105,bartaco Seaport,https://www.yelp.com/biz/bartaco-seaport-boston-2
106,Aquitaine,https://www.yelp.com/biz/aquitaine-boston-5
107,Kaze Shabu Shabu,https://www.yelp.com/biz/kaze-shabu-shabu-boston
108,Alcove,https://www.yelp.com/biz/alcove-boston
109,The Butcher Shop,https://www.yelp.com/biz/the-butcher-shop-boston
110,Shy Bird,https://www.yelp.com/biz/shy-bird-cambridge
111,Burro Bar South End,https://www.yelp.com/biz/burro-bar-south-end-boston-2
112,Davio’s,https://www.yelp.com/biz/davios-boston
113,The Smoke Shop BBQ - Kendall Square,https://www.yelp.com/biz/the-smoke-shop-bbq-kendall-square-cambridge
114,Thinking Cup,https://www.yelp.com/biz/thinking-cup-boston-5
115,Sam LaGrassa’s,https://www.yelp.com/biz/sam-lagrassas-boston-3
116,Blunch,https://www.yelp.com/biz/blunch-boston
117,The Capital Grille,https://www.yelp.com/biz/the-capital-grille-boston-3
118,Cornish Pasty,https://www.yelp.com/biz/cornish-pasty-boston-3
119,Audubon Boston,https://www.yelp.com/biz/audubon-boston-boston
120,Abe & Louie’s,https://www.yelp.com/biz/abe-and-louies-boston-2
121,Gustazo Cuban Kitchen & Bar,https://www.yelp.com/biz/gustazo-cuban-kitchen-and-bar-waltham
122,Zuma,https://www.yelp.com/biz/zuma-boston-2
123,Coreanos Allston,https://www.yelp.com/biz/coreanos-allston-allston
124,Revival Cafe+Kitchen,https://www.yelp.com/biz/revival-cafe-kitchen-boston
125,City Tap House,https://www.yelp.com/biz/city-tap-house-boston
126,anoush’ella,https://www.yelp.com/biz/anoushella-boston
127,MIDA,https://www.yelp.com/biz/mida-boston
128,Saigon Fusion,https://www.yelp.com/biz/saigon-fusion-boston-2
