,name,url
81,Chef Tam’s Underground Cafe,https://www.yelp.com/biz/chef-tams-underground-cafe-memphis
82,City Silo Table + Pantry,https://www.yelp.com/biz/city-silo-table-pantry-memphis-3
83,Flight Restaurant & Wine Bar,https://www.yelp.com/biz/flight-restaurant-and-wine-bar-memphis
84,Sugar Grits,https://www.yelp.com/biz/sugar-grits-memphis
85,The Choo,https://www.yelp.com/biz/the-choo-memphis
86,Goodie’s,https://www.yelp.com/biz/goodies-memphis-2
87,Los Comales,https://www.yelp.com/biz/los-comales-memphis-2
88,Staks Pancake Kitchen,https://www.yelp.com/biz/staks-pancake-kitchen-memphis
89,Rizzos by Michael Patrick,https://www.yelp.com/biz/rizzos-by-michael-patrick-memphis-2
90,Fries Guys,https://www.yelp.com/biz/fries-guys-memphis
91,Phuong Long,https://www.yelp.com/biz/phuong-long-memphis
92,Evelyn & Olive,https://www.yelp.com/biz/evelyn-and-olive-memphis-2
93,Bryant’s Breakfast,https://www.yelp.com/biz/bryants-breakfast-memphis
94,LBOE,https://www.yelp.com/biz/lboe-memphis
95,Andrew Michael Italian Kitchen,https://www.yelp.com/biz/andrew-michael-italian-kitchen-memphis
96,Burgerim - Memphis,https://www.yelp.com/biz/burgerim-memphis-memphis
97,Flames Mediterranean & grill,https://www.yelp.com/biz/flames-mediterranean-and-grill-memphis-4
98,Side Street Grill,https://www.yelp.com/biz/side-street-grill-memphis
99,Gia’s cafe,https://www.yelp.com/biz/gias-cafe-memphis
100,Ben Yay’s,https://www.yelp.com/biz/ben-yays-memphis
101,The Gray Canary,https://www.yelp.com/biz/the-gray-canary-memphis
102,Payne’s Bar-B-Que,https://www.yelp.com/biz/paynes-bar-b-que-memphis
103,Stone Soup Cafe & Market,https://www.yelp.com/biz/stone-soup-cafe-and-market-memphis-2
104,Lucchesi’s Beer Garden,https://www.yelp.com/biz/lucchesis-beer-garden-memphis
105,Rendezvous Restaurant,https://www.yelp.com/biz/rendezvous-restaurant-memphis-3
106,Kami Ramen Bar,https://www.yelp.com/biz/kami-ramen-bar-memphis
107,The Bluff,https://www.yelp.com/biz/the-bluff-memphis
108,Babalu,https://www.yelp.com/biz/babalu-memphis-2
109,Bishop,https://www.yelp.com/biz/bishop-memphis
110,Rhodes Dining,https://www.yelp.com/biz/rhodes-dining-memphis
111,Imagine Vegan Cafe,https://www.yelp.com/biz/imagine-vegan-cafe-memphis
112,Sage Restaurant,https://www.yelp.com/biz/sage-restaurant-memphis
113,Belltower Coffeehouse & Studio,https://www.yelp.com/biz/belltower-coffeehouse-and-studio-memphis
114,Houston’s Restaurant,https://www.yelp.com/biz/houstons-restaurant-memphis
115,Local On The Square,https://www.yelp.com/biz/local-on-the-square-memphis
116,Highland Super Submarine Sandwich Shop,https://www.yelp.com/biz/highland-super-submarine-sandwich-shop-memphis
117,Global Café,https://www.yelp.com/biz/global-caf%C3%A9-memphis
118,The Capital Grille,https://www.yelp.com/biz/the-capital-grille-memphis-2
119,Lost Pizza Company - Memphis,https://www.yelp.com/biz/lost-pizza-company-memphis-memphis
120,Andalusia,https://www.yelp.com/biz/andalusia-memphis
121,Otherlands,https://www.yelp.com/biz/otherlands-memphis-2
122,Café Eclectic,https://www.yelp.com/biz/caf%C3%A9-eclectic-memphis-7
123,Cafe Society,https://www.yelp.com/biz/cafe-society-memphis
124,Stick ‘Em,https://www.yelp.com/biz/stick-em-memphis
125,Pizzeria Trasimeno,https://www.yelp.com/biz/pizzeria-trasimeno-memphis
126,Itta Bena,https://www.yelp.com/biz/itta-bena-memphis
127,Tokyo Grill,https://www.yelp.com/biz/tokyo-grill-memphis-10
128,Sabor Caribe,https://www.yelp.com/biz/sabor-caribe-memphis
129,Cook Out,https://www.yelp.com/biz/cook-out-memphis
130,Kim Chai Restaurant,https://www.yelp.com/biz/kim-chai-restaurant-memphis
131,High Point Pizza,https://www.yelp.com/biz/high-point-pizza-memphis
132,Slutty Salsa,https://www.yelp.com/biz/slutty-salsa-memphis
133,Robata Ramen and Yakitori Bar,https://www.yelp.com/biz/robata-ramen-and-yakitori-bar-memphis
134,Arepas Deliciosas,https://www.yelp.com/biz/arepas-deliciosas-memphis
135,Erling Jensen The Restaurant,https://www.yelp.com/biz/erling-jensen-the-restaurant-memphis
136,The Lookout At The Pyramid,https://www.yelp.com/biz/the-lookout-at-the-pyramid-memphis
137,Chez Philippe,https://www.yelp.com/biz/chez-philippe-memphis
138,Flying Fish,https://www.yelp.com/biz/flying-fish-memphis-2
139,Pete & Sam’s Restaurant,https://www.yelp.com/biz/pete-and-sams-restaurant-memphis
140,Orange Mound Grill,https://www.yelp.com/biz/orange-mound-grill-memphis
141,Huey’s - Midtown,https://www.yelp.com/biz/hueys-midtown-memphis-4
142,Dino’s Grill,https://www.yelp.com/biz/dinos-grill-memphis
143,Ciao Bella Italian Grill and Bar,https://www.yelp.com/biz/ciao-bella-italian-grill-and-bar-memphis
144,Freddy’s Frozen Custard & Steakburgers,https://www.yelp.com/biz/freddys-frozen-custard-and-steakburgers-memphis-5
145,Bala’s Bistro,https://www.yelp.com/biz/balas-bistro-memphis-2
146,Venice Kitchen,https://www.yelp.com/biz/venice-kitchen-memphis-2
147,Marciano,https://www.yelp.com/biz/marciano-memphis
148,Dixie Queen,https://www.yelp.com/biz/dixie-queen-memphis-17
149,La Baguette French Bread and Pastry Shop,https://www.yelp.com/biz/la-baguette-french-bread-and-pastry-shop-memphis
150,Gus’s World Famous Fried Chicken,https://www.yelp.com/biz/guss-world-famous-fried-chicken-memphis-2
151,Island Paradise Takeout,https://www.yelp.com/biz/island-paradise-takeout-memphis
152,Ball Hoggerz BBQ,https://www.yelp.com/biz/ball-hoggerz-bbq-memphis
